	SocR10	SocR1	SocR2	SocR3	SocR4	SocR5	SocR6	SocR7	SocR8	SocF10	SocF11	SocF12	SocF14	SocF4	SocF5	SocF6	SocF7	SocF8	SocF9
Lflavo2a006742	644.304473728768	606.387127892541	608.844673710044	520.924536822007	643.356372293279	502.831255264688	541.181732005391	599.176996786332	720.949759025362	567.00843799703	606.114563637937	658.840547033098	637.938216397851	502.806468623675	546.322197522118	719.181901943424	631.663671292574	825.772361710873	673.481411443732
Lflavo2a006740	126.831589316687	165.774898272781	158.219504023334	166.148538948858	173.831666051387	160.14831075211	145.970118540904	158.39391904365	150.686620472134	153.976603345982	117.371655288436	161.2191704686	125.690429253108	140.50303780521	118.83279437628	109.589623153284	154.566966874202	147.071865881353	135.773852547056
Lflavo2a006745	165.388392468959	220.30611480988	250.347316492617	236.517331915433	224.0098789322	196.310832534844	193.633830717525	232.791062836879	207.532471308928	195.591901547599	212.736125210289	166.296939617218	198.021714011972	180.268048504797	192.13873895905	220.320804881081	161.780091994998	209.758234945536	239.220597344814
Lflavo2a006758	0	1.09062433074198	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14155857451337	1.03044644582802	0	0
Lflavo2a006756	6.08791628720096	2.18124866148396	3.0041677979114	4.88672173378993	7.16831612583041	4.30506211699219	2.97898201103885	3.99984644049621	0	3.12114736512126	2.75089817082271	1.26944228715433	2.37151753307751	6.18566833104697	6.17313217539117	5.70779287256686	5.15223222914008	1.20550709738814	3.23271077492991
Lflavo2a006762	0	2.18124866148396	3.0041677979114	0.977344346757986	0	0	0	0	0.902315092647511	0	0	0	0	0	0	0	1.03044644582802	0	0
Lflavo2a006752	0	0	0	0	0	0	0	0	0	0	0	2.53888457430866	0	0	2.31492456577169	0	0	0	0
Lflavo2a006743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03044644582802	0	0
Lflavo2a006741	2.02930542906699	1.09062433074198	1.00138926597047	0	1.7920790314576	0	0	0	0	0	0	0	0	0	0	0	1.03044644582802	0	2.15514051661994
Lflavo2a006751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lflavo2a006749	0	0	0	0	0.896039515728801	0	0	0	1.80463018529502	0	0	0	0	0	0	1.14155857451337	0	0	0
Lflavo2a006739	0	0	0	0	0	0	0	0	0	0	0	2.53888457430866	0	0	0	0	0	0	0
Lflavo2a006755	0	0	0	0.977344346757986	0	0	0	0.799969288099242	0	0	0	0	0	0.883666904435282	0	0	0	0	0
Lflavo2a006738	0	0	0	0	0	0.861012423398438	0	0	0	0	0	0	0	0.883666904435282	0	0	0	0	0
Lflavo2a006747	0	1.09062433074198	1.00138926597047	0	3.5841580629152	0	0	0	0.902315092647511	0	0.916966056940903	0	0	2.65100071330585	0	0	1.03044644582802	0	0
Lflavo2a006757	0	3.27187299222594	0	0	1.7920790314576	0	0	0.799969288099242	0	0	0	0	0	0	0	0	1.03044644582802	0	0
Lflavo2a006744	0	0	2.00277853194094	0	0	0	0	0	0	0	0.916966056940903	0	0	0	0	0	0	0	0
Lflavo2a006763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lflavo2a006753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lflavo2a006750	0	1.09062433074198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lflavo2a006761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lflavo2a005097	3428.51152240867	3244.60738395739	3811.2875462836	3657.22254556838	3244.55908645399	3514.65271231243	3895.51547643513	3111.08056141795	3157.20050917364	3275.12396846725	3383.60475011193	3644.56880642009	2541.08103669256	4314.94549435748	3962.37921507921	2914.39904073264	3494.2438978028	3168.07265193602	3205.77151847216
Lflavo2a005083	2.02930542906699	0	0	0	0	1.72202484679688	0.992994003679616	0	0	0	0	0	0	2.65100071330585	1.54328304384779	0	1.03044644582802	1.20550709738814	1.07757025830997
